id,name,bday,location,final,p
62,Ashutosh Gowariker,1964-02-15,Kolhapur,upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ashutosh_Gowariker_at_the_launch_of_T_P_Aggarwal%27s_trade_magazine_%27Blockbuster%27_15.jpg/330px-Ashutosh_Gowariker_at_the_launch_of_T_P_Aggarwal%27s_trade_magazine_%27Blockbuster%27_15.jpg,"Ashutosh Gowariker (born 15 February 1964) is an Indian film director, actor, screenwriter and producer. He is known for directing films ""set on a huge canvas while boasting of an opulent treatment"".[1] His works include Lagaan (2001), Swades (2004), Jodhaa Akbar (2008), What's Your Raashee? (2009), Khelein Hum Jee Jaan Sey (2010) and Mohenjo Daro (2016). His film Lagaan was nominated in the Best Foreign Language Film category in 74th Academy Awards, which makes him a voting member of the Academy Awards.[2][3] He returned to acting by playing the lead role in the critically acclaimed comedy-drama Ventilator (2016)."
63,Neil Burger,,Connecticut,upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Neil_Burger_%28cropped%29.jpg/330px-Neil_Burger_%28cropped%29.jpg,"After graduating from Yale University with a degree in fine arts, Burger became involved with experimental film in the 1980s and went on to direct music videos for such alternative artists as the Meat Puppets. Burger approached MTV in 1991 with the idea to create and direct a series of promotional spots for what would be the MTV Books: Feed Your Head campaign against aliteracy. In association with Ridley Scott Associates, Burger directed commercials for companies such as Mastercard, IBM and ESPN, and created a series of television spots for Amnesty International and their campaign for prisoners of conscience."
64,Margaretha Krook,1925-10-15,Stockholm,,
65,Walter Connolly,1887-04-08,Cincinnati,upload.wikimedia.org/wikipedia/commons/5/56/Walter_Connolly_in_Bridal_Suite_trailer.jpg,"Connolly was a successful stage actor who appeared in 22 Broadway productions between 1916 and 1935, notably revivals of Pirandello's Six Characters in Search of an Author and Chekhov's Uncle Vanya.[1] His first film appearances came in two silent films, The Marked Woman (1914) and A Soldier's Oath (1915), and his first talkie film came in 1930, Many Happy Returns, but his Hollywood film career really began in 1932, when he appeared in four films.  His trademark role was that of the exasperated business tycoon or newspaperman, often as the father of the female lead character, as in It Happened One Night (1934) with Clark Gable and Claudette Colbert; Broadway Bill (1934), supporting Warner Baxter and Myrna Loy; and Libeled Lady  (1936) with William Powell and Loy again. Other notable roles included the worthless uncle of Paul Muni's character in The Good Earth (1937) and one of the two con men encountered by Mickey Rooney's Huckleberry Finn in The Adventures of Huckleberry Finn (1939). Connolly starred as General Yen's American advisor in The Bitter Tea of General Yen (1933)."
66,John Lasseter,1957-01-12,"Hollywood, California",upload.wikimedia.org/wikipedia/commons/thumb/a/a0/John_Lasseter_2002.jpg/330px-John_Lasseter_2002.jpg,"John Alan Lasseter (/ˈlæsətər/; born January 12, 1957)[3] is an American animator, filmmaker, and former chief creative officer of Walt Disney Animation Studios, Pixar and the defunct Disneytoon Studios. He was also the Principal Creative Advisor for Walt Disney Imagineering.[4]"
67,Emraan Hashmi,1979-03-24,Mumbai,upload.wikimedia.org/wikipedia/commons/9/92/Emraan_Hashmi_at_the_trailer_launch_of_EK_THI_DAAYAN.jpg,"Syed Emraan Anwar Hashmi (pronounced [ɪmraːn ˈɦaːʃmiː]; born 24 March 1979) is an Indian film actor who appears in Hindi films.[1] Through his career, Hashmi has received three Filmfare Award nominations.[2][3]"
68,Salim Khan,,,,"Salim Abdul Rashid Khan (born 24 November 1935), also known as Salim Khan, is an Indian film actor, producer and screenwriter. As a screenwriter, he wrote the screenplays, stories and scripts for numerous Bollywood films. In Hindi cinema, Khan is best known for being one half of the prolific screenwriting duo of Salim-Javed, along with Javed Akhtar. The duo Salim-Javed were the first Indian screenwriters to achieve star status,[1] becoming the most successful Indian screenwriters of all time,[2] and are regarded as ""Hindi cinema's greatest screenwriters"".[3] While working together, Salim Khan was largely responsible for developing the stories and characters, while Javed Akhtar was largely responsible for developing the dialogues.[4]"
69,Wim Wenders,1945-08-14,Düsseldorf,upload.wikimedia.org/wikipedia/commons/thumb/1/12/MJK30764_Wim_Wenders_%28Berlinale_2017%29.jpg/330px-MJK30764_Wim_Wenders_%28Berlinale_2017%29.jpg,"One of Wenders' earliest honors was a win for the BAFTA Award for Best Direction for his narrative drama Paris, Texas (1984), which also won the Palme d'Or at the 1984 Cannes Film Festival. Many of his subsequent films have also been recognized at Cannes, including Wings of Desire (1987), for which Wenders won the Best Director Award at the 1987 Cannes Film Festival."
70,James Caan,1940-03-26,"The Bronx, New York",upload.wikimedia.org/wikipedia/commons/thumb/d/d7/James_Caan_%281976%29.jpg/330px-James_Caan_%281976%29.jpg,"James Edmund Caan[1] (born March 26, 1940) is an American actor. After early roles in The Glory Guys (1965), for which he received a Golden Globe nomination, El Dorado (1967), and The Rain People (1969), he came to prominence in the 1970s with significant roles in films such as Brian's Song (1971), Cinderella Liberty (1973), The Gambler (1974), Freebie and the Bean (1974), Rollerball (1975), Funny Lady (1975), A Bridge Too Far (1977) and Chapter Two (1979). For his signature role in The Godfather (1972), that of hot-tempered Sonny Corleone, Caan was nominated for the Academy Award for Best Supporting Actor and the corresponding Golden Globe."
71,Brittany Snow,1986-03-09,"Tampa, Florida",upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Brittany_Snow.jpg/330px-Brittany_Snow.jpg,"Her subsequent television roles have included Ariel Alderman on Nip/Tuck (2005) and Jenna Backstrom on Harry's Law (2011). Her film roles include Kate Spencer in John Tucker Must Die (2006), Amber Von Tussle in Hairspray (2007), Donna Keppel in Prom Night (2008), Emma Gainsborough in The Vicious Kind (2009), and Chloe Beale in the musical comedies Pitch Perfect (2012), Pitch Perfect 2 (2015), and Pitch Perfect 3 (2017)."
72,Michael Palin,1943-05-05,Ranmoor,upload.wikimedia.org/wikipedia/commons/thumb/7/75/Michael_Palin.jpg/330px-Michael_Palin.jpg,"Sir Michael Edward Palin, KCMG, CBE, FRGS (/ˈpeɪlɪn/; born 5 May 1943)[1] is an English comedian, actor, writer and television presenter.  He was a member of the comedy group Monty Python. Since 1980 he has made a number of travel documentaries.[2]"
73,Renato De Maria,,,,
74,Jack Oakie,1903-11-12,"Sedalia, Missouri",upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Jack_Oakie_1941.JPG/330px-Jack_Oakie_1941.JPG,"Jack Oakie was born in Sedalia, Missouri, at 522 W. Seventh St. His father, James Madison Offield (1880–1939), was a grain dealer, and his mother, Evelyn Offield (nee Jump) (1868–1939), was a psychology teacher.[1] When he was 5, the Offield family moved to Muskogee, Oklahoma, the source of his ""Oakie"" nickname.[1] His adopted first name, Jack, was the name of the first character he played on stage. Young Lewis/Jack grew up mostly in Oklahoma but also lived for periods of time with his grandmother in Kansas City, Missouri. While there he attended Woodland Elementary and made spending money as a paperboy for The Kansas City Star. He recalled years later that he made especially good money selling ""extras"" in November 1916 during the presidential election campaign that resulted Woodrow Wilson being re-elected.[1]"
75,Zoe Saldana,1978-06-19,"Passaic, New Jersey",upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Zoe_Saldana_by_Gage_Skidmore_2.jpg/330px-Zoe_Saldana_by_Gage_Skidmore_2.jpg,"Zoe Saldana-Perego (born Zoe Yadira Saldaña Nazario;[1] 19 June 1978[2]) is an American actress and dancer. Following her performances with the theater group Faces, Saldana made her screen debut in a 1999 episode of Law & Order."
76,Georges Arnaud,1917-07-16,Barcelona,,Henri Girard (1917 - 1987) was a French author who used the pseudonym Georges Arnaud. He was born in Montpellier. He was the author of the novel The Wages of Fear (French: Le salaire de la peur).
77,Ciarán Hinds,1953-02-09,Belfast,upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ciaran_hinds.jpg/330px-Ciaran_hinds.jpg,"Ciarán Hinds (/ˈkɪərən ˈhaɪndz/;[1] born 9 February 1953) is a Northern Irish[2][3] actor. A versatile character actor, he has featured in films such as Road to Perdition, Munich, There Will Be Blood, Harry Potter and the Deathly Hallows – Part 2, Tinker Tailor Soldier Spy, Frozen, Silence, Red Sparrow, and Justice League, in which he portrayed the main antagonist Steppenwolf."
78,Rakeysh Omprakash Mehra (as Rakesh Omprakash Mehra),1953-02-09,Belfast,upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ciaran_hinds.jpg/330px-Ciaran_hinds.jpg,
79,Hilary Swank,1974-07-30,"Lincoln, Nebraska",upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Hilary_Swank_at_28th_Tokyo_International_Film_Festival.jpg/330px-Hilary_Swank_at_28th_Tokyo_International_Film_Festival.jpg,"Hilary Ann Swank (born July 30, 1974) is an American actress and film producer. She is the recipient of numerous awards for her career, including two Academy Awards, two Golden Globe Awards, two Critics Choice Awards, and a Screen Actors Guild Award."
80,Ellen Page,1987-02-21,"Halifax, Nova Scotia",upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ellen_Page_by_Gage_Skidmore.jpg/330px-Ellen_Page_by_Gage_Skidmore.jpg,
81,Satish Bhatnagar,1987-02-21,"Halifax, Nova Scotia",upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ellen_Page_by_Gage_Skidmore.jpg/330px-Ellen_Page_by_Gage_Skidmore.jpg,
82,Kartik Aaryan,1990-11-22,Gwalior,upload.wikimedia.org/wikipedia/commons/thumb/8/89/Kartik_Aaryan_at_SKTKS_success_party.jpg/330px-Kartik_Aaryan_at_SKTKS_success_party.jpg,"Kartik Aaryan (born Kartik Tiwari on 22 November 1990) is an Indian actor who appears in Hindi films. Born and raised in Gwalior, he relocated to Navi Mumbai to pursue an engineering degree in biotechnology. He simultaneously dabbled in modelling and made attempts to start a career in film. After struggling for three years, Aaryan made his acting debut in 2011 with Pyaar Ka Punchnama, a buddy film about the romantic tribulations faced by three young men, which was directed by Luv Ranjan and co-starred Nushrat Bharucha."
83,Amar Kaushik,1983-08-04,,,"Amar Kaushik was born on 4 August 1983 in Uttar Pradesh. He grew up in Medo, Arunachal Pradesh where his father was a forest ranger who worked for the Indian Forest Service and his mother Shashi was a school teacher. When he was 10 years old, he shifted to Kanpur, Uttar Pradesh.[1] He later studied mass communications in Delhi and shifted to Mumbai in 2006.[2] In 2009, Kaushik was attacked on a bus by Shiv Sena members who mistakenly believed he was director Anurag Kashyap. Shiv Sena leader Raj Thackeray had criticised Kashyap for calling his film Bombay Velvet and had unsuccessfully demanded that he change the name to Mumbai Velvet.[3]"
84,James Mangold,1963-12-16,,upload.wikimedia.org/wikipedia/commons/thumb/1/1f/James_Mangold_Press_Conference_Logan_Berlinale_2017_03.jpg/330px-James_Mangold_Press_Conference_Logan_Berlinale_2017_03.jpg,"James Mangold (born December 16, 1963) is an American film and television director, screenwriter and producer. He is best known for directing the films Cop Land (1997), Girl, Interrupted (1999), Kate & Leopold (2001), Walk the Line (2005), 3:10 to Yuma (2007), and Knight and Day (2010). Mangold also directed the superhero films based on the Marvel Comics character Wolverine, The Wolverine (2013) and Logan (2017), the latter of which earned him a nomination for the Academy Award for Best Adapted Screenplay."
85,Kar,,,,
86,Emilio Echevarría,1944-07-03,,,"He has appeared in Amores Perros (as the hitman and ex-guerrilla nicknamed ""El Chivo"" (The Goat)), and Y tu mamá también, which also co-starred Gael García Bernal."
87,Sandeep Srivastava,1944-07-03,,,
88,Alexandre Rodrigues,,,,
89,Amitabh Bachchan,1942-10-11,,upload.wikimedia.org/wikipedia/commons/thumb/7/73/Amitabh_Bachchan_2014.jpg/330px-Amitabh_Bachchan_2014.jpg,"Amitabh Bachchan (pronounced [əmɪˈtaːbʱ ˈbətʃːən]; born Inquilaab Srivastava;[1] 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood. Referred to as the Shahenshah of Bollywood, Sadi ka Mahanayak (Hindi for, ""Greatest actor of the century""), Star of the Millennium, or Big B,[4][5][6] he has since appeared in over 190 Indian films in a career spanning almost five decades.[7] Bachchan is widely regarded as one of the greatest and most influential actors in the history of Indian cinema as well as world cinema.[8][9][10][11][12] So total was his dominance on the Indian movie scene in the 1970s and 1980s that the French director François Truffaut called him a ""one-man industry"".[13] Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (such as South Africa), the Middle East (especially Egypt), United Kingdom, Russia and parts of the United States.[14][10][15]"
90,Pooja Ladha Surti,1942-10-11,,upload.wikimedia.org/wikipedia/commons/thumb/7/73/Amitabh_Bachchan_2014.jpg/330px-Amitabh_Bachchan_2014.jpg,
91,Matthew Broderick,1962-03-21,Manhattan,upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Matthew_Broderick_in_2009.jpg/330px-Matthew_Broderick_in_2009.jpg,"Matthew Broderick (born March 21, 1962) is an American actor and singer. His best known roles include the title character in Ferris Bueller's Day Off (1986), the voice of the adult Simba in Disney's The Lion King trilogy (1994–2004), and Leo Bloom in both the Broadway musical The Producers and its 2005 film adaptation. Other notable films he has appeared in include WarGames (1983), Glory (1989), The Freshman (1990), The Cable Guy (1996), Godzilla (1998), Election (1999), Inspector Gadget (1999) and You Can Count on Me (2000).  Broderick also directed himself in Infinity (1996) and provided voice work in Good Boy! (2003), Bee Movie (2007), and The Tale of Despereaux (2008)."
